sample_id,repository,bug_id,commit,id,file,function,loc,complexity,max_nesting,num_args,num_returns,num_calls,file_imports,caller_count,callee_count,dependency_count,degree,betweenness,pagerank,label
black_1_26c9465a22c7_black.py_reformat_many_1,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,black.py:reformat_many,black.py,reformat_many,25,3,1,5,0,8,42,1,2,0,4,0.0,0.0007779501713604613,1
black_1_26c9465a22c7_black.py_schedule_formatting_1,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,black.py:schedule_formatting,black.py,schedule_formatting,69,15,5,7,1,25,42,1,8,0,10,0.0,0.0010361873081720355,1
black_1_26c9465a22c7_tests/data/fmtonoff4.py_f_0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,tests/data/fmtonoff4.py:f,tests/data/fmtonoff4.py,f,1,1,0,0,0,0,0,0,2,0,3,0.0,0.0012985384473700042,0
black_1_26c9465a22c7_black.py__return_match_0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,black.py:_return_match,black.py,_return_match,23,4,2,1,2,5,42,1,3,0,5,0.0,0.0007592366286135623,0
black_1_26c9465a22c7_black.py_visit_0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,black.py:visit,black.py,visit,23,3,1,2,0,5,42,10,3,0,14,0.002241602693167666,0.008821847841792189,0
black_1_26c9465a22c7_tests/data/python37.py_make_arange_0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,tests/data/python37.py:make_arange,tests/data/python37.py,make_arange,2,1,0,1,1,2,0,0,0,0,1,0.0,0.0008202655938962257,0
black_1_26c9465a22c7_blib2to3/pytree.py_match_0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,blib2to3/pytree.py:match,blib2to3/pytree.py,match,3,1,0,3,1,0,6,9,2,0,12,0.0012885859793059637,0.01023179911528094,0
black_1_26c9465a22c7_blib2to3/pytree.py___repr___0,black,1,26c9465a22c732ab1e17b0dec578fa3432e9b558,blib2to3/pytree.py:__repr__,blib2to3/pytree.py,__repr__,10,1,0,1,1,1,6,0,1,0,2,0.0,0.0007164399211189202,0
black_10_f6643c4f0cfb_blib2to3/pgen2/driver.py__partially_consume_prefix_1,black,10,f6643c4f0cfbae1f2493fdfce46cfbae3d26f46b,blib2to3/pgen2/driver.py:_partially_consume_prefix,blib2to3/pgen2/driver.py,_partially_consume_prefix,28,8,5,3,2,5,6,1,1,0,3,0.0,0.0021846254585654945,1
black_10_f6643c4f0cfb_blib2to3/pgen2/literals.py_test_0,black,10,f6643c4f0cfbae1f2493fdfce46cfbae3d26f46b,blib2to3/pgen2/literals.py:test,blib2to3/pgen2/literals.py,test,7,3,2,0,0,5,1,0,1,0,2,0.0,0.0011934192678134167,0
black_10_f6643c4f0cfb_blib2to3/pytree.py__eq_0,black,10,f6643c4f0cfbae1f2493fdfce46cfbae3d26f46b,blib2to3/pytree.py:_eq,blib2to3/pytree.py,_eq,10,1,0,2,0,0,4,1,0,0,2,0.0,0.0017602763620715545,0
black_10_f6643c4f0cfb_black.py_gen_python_files_in_dir_0,black,10,f6643c4f0cfbae1f2493fdfce46cfbae3d26f46b,black.py:gen_python_files_in_dir,black.py,gen_python_files_in_dir,41,10,4,5,0,15,33,5,2,0,8,0.0,0.004300794025297781,0
black_11_283a5d53a8d5_black.py_split_line_1,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:split_line,black.py,split_line,67,12,4,4,3,14,33,1,3,0,5,0.001529625590694293,0.001460777657867391,1
black_11_283a5d53a8d5_black.py_is_import_1,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:is_import,black.py,is_import,12,1,0,1,1,1,33,0,0,0,1,0.0,0.000945196208011865,1
black_11_283a5d53a8d5_black.py_should_explode_1,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:should_explode,black.py,should_explode,17,5,1,2,3,3,33,1,1,0,3,0.0,0.0012341423780263372,1
black_11_283a5d53a8d5_black.py_is_yield_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:is_yield,black.py,is_yield,19,6,1,1,6,2,33,1,0,0,2,0.0,0.0011810971733628693,0
black_11_283a5d53a8d5_tests/data/composition.py_easy_asserts_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,tests/data/composition.py:easy_asserts,tests/data/composition.py,easy_asserts,36,1,0,1,0,0,0,0,0,0,1,0.0,0.0011001610227335857,0
black_11_283a5d53a8d5_black.py_is_def_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:is_def,black.py,is_def,17,5,1,1,2,0,33,0,0,0,1,0.0,0.000945196208011865,0
black_11_283a5d53a8d5_black.py_is_class_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:is_class,black.py,is_class,7,1,0,1,1,1,33,0,0,0,1,0.0,0.000945196208011865,0
black_11_283a5d53a8d5_black.py_ensure_visible_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:ensure_visible,black.py,ensure_visible,10,3,2,1,0,0,33,1,0,0,2,0.0,0.001083081736923183,0
black_11_283a5d53a8d5_blib2to3/pgen2/literals.py_evalString_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,blib2to3/pgen2/literals.py:evalString,blib2to3/pgen2/literals.py,evalString,9,2,1,1,1,11,1,1,0,0,2,0.0,0.002249600057530661,0
black_11_283a5d53a8d5_blib2to3/pgen2/pgen.py_calcfirst_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,blib2to3/pgen2/pgen.py:calcfirst,blib2to3/pgen2/pgen.py,calcfirst,29,8,4,2,0,6,0,1,0,0,2,0.0,0.0020250629508997684,0
black_11_283a5d53a8d5_black.py_append_safe_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,black.py:append_safe,black.py,append_safe,16,4,2,3,0,3,33,2,1,0,4,0.0,0.0012843852077679,0
black_11_283a5d53a8d5_blib2to3/pgen2/conv.py_finish_off_0,black,11,283a5d53a8d57e8e186a08c9fbf249e1fbe7bc94,blib2to3/pgen2/conv.py:finish_off,blib2to3/pgen2/conv.py,finish_off,9,4,3,1,0,1,2,1,0,0,2,0.0,0.0014162641382310613,0
black_12_8b340e210271_black.py_maybe_decrement_after_for_loop_variable_1,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:maybe_decrement_after_for_loop_variable,black.py,maybe_decrement_after_for_loop_variable,8,2,1,2,2,0,32,1,0,0,2,0.0,0.0021616531593567465,1
black_12_8b340e210271_black.py_maybe_decrement_after_lambda_arguments_1,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:maybe_decrement_after_lambda_arguments,black.py,maybe_decrement_after_lambda_arguments,8,2,1,2,2,0,32,1,0,0,2,0.0,0.0021616531593567465,1
black_12_8b340e210271_black.py_maybe_increment_for_loop_variable_1,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:maybe_increment_for_loop_variable,black.py,maybe_increment_for_loop_variable,12,2,1,2,2,0,32,1,0,0,2,0.0,0.0021616531593567465,1
black_12_8b340e210271_black.py_maybe_increment_lambda_arguments_1,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:maybe_increment_lambda_arguments,black.py,maybe_increment_lambda_arguments,12,2,1,2,2,0,32,1,0,0,2,0.0,0.0021616531593567465,1
black_12_8b340e210271_tests/data/class_methods_new_line.py___init___0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/data/class_methods_new_line.py:__init__,tests/data/class_methods_new_line.py,__init__,2,1,0,1,0,0,0,2,0,0,3,0.0,0.001284607734270147,0
